Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Saltine cracker,Baked Products,0.022,393.0,82.0,0.0,1.6,2.7,0.026,0.115,11.0,0.849,0.38
Tart,Baked Products,0.044,372.0,77.0,0.0,6.0,1.5,0.044,0.066,4.0,0.361,4.9
Pop tarts,Baked Products,0.024,412.0,68.0,0.0,13.0,1.1,0.016,0.095,4.6,0.398,31.0
Chocolate eclair,Baked Products,0.048,241.0,40.0,0.047,6.9,2.1,0.0,0.0,4.4,0.3,17.0
Tostada shells,Baked Products,0.076,474.0,64.0,0.0,23.0,5.8,0.076,0.237,6.2,0.657,0.0
Pan dulce,Baked Products,0.086,367.0,56.0,0.03,12.0,2.3,0.024,0.103,9.4,0.228,13.0
Cream cracker,Baked Products,0.026,484.0,65.0,0.0,20.0,2.4,0.025,0.129,7.0,1.148,9.4
Cinnamon roll,Baked Products,0.183,452.0,49.0,0.005,27.0,1.2,0.014,0.102,4.5,0.305,26.0
Bagel,Baked Products,0.02,250.0,49.0,0.0,1.5,4.1,0.051,0.165,10.0,0.439,6.1
Potato bread,Baked Products,0.188,266.0,47.0,0.0,3.1,6.3,0.028,0.718,13.0,0.375,9.4
Focaccia,Baked Products,0.035,249.0,36.0,0.0,7.9,1.8,0.02,0.114,8.8,0.561,1.8
Patty,Baked Products,0.007,204.0,0.0,0.053,16.0,0.0,0.018,0.269,15.0,0.074,0.0
Strudel,Baked Products,0.293,318.0,50.0,0.012,11.0,1.2,0.013,0.071,5.0,0.691,17.0
Murray Vanilla Wafers,Baked Products,0.0,461.0,73.0,0.001,17.0,1.4,0.0,0.084,4.0,0.401,32.0
Keebler Oatmeal Cookies,Baked Products,0.0,478.0,68.0,0.0,20.0,4.5,0.006,0.123,7.1,0.325,31.0
Keebler Sugar Cones,Baked Products,0.0,375.0,78.0,0.0,3.7,2.1,0.009,0.119,7.3,0.326,26.0
Roti (Chapati),Baked Products,0.036,299.0,46.0,0.0,9.2,9.7,0.056,0.196,7.9,0.298,2.9
Paratha,Baked Products,0.025,326.0,45.0,0.001,13.0,9.6,0.037,0.139,6.4,0.452,4.2
Naan,Baked Products,0.059,286.0,46.0,0.001,6.7,4.8,0.068,0.185,10.0,0.467,3.4
Navajo frybread,Baked Products,0.057,330.0,48.0,0.007,12.0,0.0,0.018,0.077,6.7,0.329,2.0
Lavash - Armenian Bread,Baked Products,0.021,281.0,60.0,0.0,1.2,3.1,0.027,0.125,8.7,0.796,0.0
Hot dog,Fast Foods,0.099,290.0,4.2,0.077,26.0,0.0,0.015,0.152,10.0,1.09,0.0
Potato wedges,Fast Foods,0.015,123.0,26.0,0.0,2.2,2.0,0.019,0.394,2.7,0.049,0.3
Veggie burger,Fast Foods,0.136,177.0,14.0,0.005,6.3,4.9,0.056,0.333,16.0,0.569,1.1
Hash browns,Fast Foods,0.019,272.0,29.0,0.0,17.0,2.7,0.021,0.355,2.6,0.566,0.56
Burrito,Fast Foods,0.052,206.0,33.0,0.002,6.2,0.0,0.04,0.301,6.5,0.454,0.0
Nachos,Fast Foods,0.063,343.0,35.0,0.003,22.0,3.2,0.042,0.362,4.3,0.313,2.2
Taco,Fast Foods,0.089,226.0,20.0,0.028,13.0,3.9,0.032,0.209,8.9,0.397,0.9
Taco salad,Fast Foods,0.097,170.0,12.0,0.019,9.2,3.0,0.026,0.21,6.7,0.363,0.0
Cheeseburger,Fast Foods,0.119,308.0,28.0,0.043,15.0,2.0,0.026,0.196,17.0,0.515,4.9
Chicken sandwich,Fast Foods,0.058,250.0,21.0,0.035,11.0,1.4,0.024,0.245,16.0,0.753,3.6
Fish sandwich,Fast Foods,0.037,257.0,27.0,0.035,12.0,1.0,0.025,0.206,10.0,0.602,3.5
Fast food,Fast Foods,0.062,297.0,32.0,0.033,12.0,1.7,0.027,0.197,17.0,0.331,4.9
Hamburger,Fast Foods,0.102,295.0,24.0,0.047,14.0,0.9,0.02,0.226,17.0,0.414,4.2
Roast beef sandwich,Fast Foods,0.055,244.0,22.0,0.03,10.0,1.3,0.023,0.224,15.0,0.653,3.8
Submarine sandwich,Fast Foods,0.171,213.0,20.0,0.027,10.0,1.2,0.02,0.282,11.0,0.575,3.2
Coleslaw,Fast Foods,0.03,153.0,15.0,0.004,9.9,1.9,0.008,0.129,0.95,0.203,12.0
French fries,Fast Foods,0.018,312.0,41.0,0.0,15.0,3.8,0.035,0.579,3.4,0.21,0.3
Mashed potato,Fast Foods,0.018,89.0,15.0,0.0,2.8,1.3,0.015,0.286,1.7,0.306,0.5
Chicken teriyaki subway,Fast Foods,0.142,155.0,23.0,0.022,2.4,1.2,0.023,0.285,11.0,0.305,6.1
McDonald's hamburger,Fast Foods,0.127,264.0,30.0,0.027,10.0,1.3,0.021,0.192,13.0,0.494,6.0
McDonald's Filet-O-Fish,Fast Foods,0.12,282.0,26.0,0.032,15.0,1.4,0.027,0.22,11.0,0.434,3.7
McDonald's Cheeseburger,Fast Foods,0.167,263.0,28.0,0.035,12.0,1.1,0.02,0.2,13.0,0.626,6.2
McDonald's Quarter Pounder,Fast Foods,0.084,244.0,22.0,0.039,12.0,1.6,0.022,0.227,14.0,0.427,5.1
McDonald's Big Mac,Fast Foods,0.116,257.0,20.0,0.036,15.0,1.6,0.02,0.181,12.0,0.46,4.0
McDonald's french fries,Fast Foods,0.019,323.0,43.0,0.0,15.0,3.9,0.037,0.596,3.4,0.189,0.21
Wendy's hamburger,Fast Foods,0.034,213.0,17.0,0.035,11.0,1.3,0.018,0.195,13.0,0.395,0.0
Wendy's chicken sandwich,Fast Foods,0.023,214.0,22.0,0.031,8.1,1.3,0.024,0.228,14.0,0.401,0.0
Wendy's Spicy Chicken Nuggets,Fast Foods,0.011,326.0,14.0,0.05,23.0,0.0,0.022,0.25,16.0,0.708,0.08
Burger King Whopper,Fast Foods,0.039,233.0,19.0,0.03,13.0,1.8,0.018,0.169,11.0,0.313,4.2
Nachos Supreme,Fast Foods,0.047,223.0,21.0,0.014,12.0,3.7,0.033,0.298,6.2,0.348,1.6
Taco Salad,Fast Foods,0.097,170.0,12.0,0.019,9.2,3.0,0.026,0.21,6.7,0.363,0.0
Pepperoni Pizza,Fast Foods,0.146,298.0,30.0,0.025,14.0,1.8,0.022,0.199,12.0,0.692,3.2
Pizza,Fast Foods,0.188,266.0,33.0,0.017,9.7,2.3,0.024,0.172,11.0,0.598,3.6
Chicken McNuggets,Fast Foods,0.011,302.0,15.0,0.044,20.0,0.0,0.024,0.252,16.0,0.566,0.08
McGriddles,Fast Foods,0.063,312.0,31.0,0.024,18.0,1.0,0.014,0.145,8.4,0.737,11.0
McFlurry,Fast Foods,0.135,177.0,27.0,0.016,6.5,0.2,0.017,0.208,4.0,0.054,24.0
McChicken Sandwich,Fast Foods,0.088,273.0,28.0,0.027,13.0,1.3,0.02,0.173,10.0,0.624,3.6
Egg McMUFFIN,Fast Foods,0.192,228.0,22.0,0.165,9.7,1.1,0.02,0.173,14.0,0.617,2.1
Chicken fingers,Fast Foods,0.017,271.0,17.0,0.048,14.0,1.2,0.028,0.373,19.0,0.769,0.4
KFC Fried Chicken,Fast Foods,0.117,384.0,19.0,0.082,28.0,0.0,0.025,0.244,14.0,1.042,0.0
Club sandwich,Fast Foods,0.095,220.0,20.0,0.046,8.1,1.2,0.032,0.226,17.0,0.63,4.7
Yogurt parfait,Fast Foods,0.105,84.0,16.0,0.003,1.0,1.1,0.017,0.189,3.4,0.049,12.0
Chicken Quesadilla,Fast Foods,0.269,294.0,24.0,0.037,15.0,1.7,0.025,0.183,15.0,0.745,1.9
Greek Tzatziki,Fast Foods,0.116,203.0,30.0,0.01,6.6,5.9,0.0,0.185,11.0,0.322,2.7
Tikka Masala,Fast Foods,0.097,191.0,30.0,0.008,5.9,6.0,0.0,0.236,10.0,0.247,4.0
Beef Stroganoff,"Meals, Entrees, and Side Dishes",0.02,98.0,9.0,0.021,4.6,0.6,0.002,0.14,5.1,0.435,1.7
Bran cereal,"Meals, Entrees, and Side Dishes",0.389,259.0,74.0,0.0,4.9,29.0,0.362,1.02,13.0,0.258,16.0
Kellogg's Apple Jacks,"Meals, Entrees, and Side Dishes",0.012,375.0,88.0,0.0,3.4,9.3,0.029,0.112,5.1,0.466,44.0
Cap'n Crunch Cereal,"Meals, Entrees, and Side Dishes",0.011,398.0,86.0,0.0,5.1,2.5,0.055,0.186,4.4,0.754,44.0
General Mills Cheerios,"Meals, Entrees, and Side Dishes",0.401,376.0,73.0,0.0,6.7,9.4,0.114,0.641,12.0,0.497,4.4
Cocoa Krispies,"Meals, Entrees, and Side Dishes",0.127,389.0,88.0,0.0,2.7,1.4,0.038,0.197,4.6,0.424,39.0
Cocoa Pebbles Cereal,"Meals, Entrees, and Side Dishes",0.022,397.0,86.0,0.0,4.1,1.6,0.031,0.193,4.8,0.594,36.0
Cookie Crisp Cereal,"Meals, Entrees, and Side Dishes",0.385,380.0,85.0,0.0,4.4,5.1,0.031,0.231,5.2,0.457,35.0
Kellogg's Corn Flakes,"Meals, Entrees, and Side Dishes",0.005,357.0,84.0,0.0,0.4,3.3,0.039,0.168,7.5,0.729,9.5
Kellogg's Froot Loops,"Meals, Entrees, and Side Dishes",0.01,375.0,88.0,0.0,3.4,9.3,0.031,0.117,5.3,0.469,42.0
Golden Grahams Cereal,"Meals, Entrees, and Side Dishes",0.323,374.0,85.0,0.0,3.2,5.6,0.026,0.206,5.3,0.772,35.0
Grape-Nuts Cereal,"Meals, Entrees, and Side Dishes",0.032,361.0,80.0,0.0,1.8,13.0,0.124,0.4,11.0,0.465,8.9
Honeycomb Cereal,"Meals, Entrees, and Side Dishes",0.011,394.0,87.0,0.0,2.9,3.2,0.045,0.142,6.0,0.553,32.0
Kix Cereal,"Meals, Entrees, and Side Dishes",0.57,357.0,83.0,0.0,3.5,8.8,0.051,0.223,7.7,0.596,9.8
Lucky Charms Cereal,"Meals, Entrees, and Side Dishes",0.434,380.0,81.0,0.0,5.0,5.0,0.074,0.222,7.7,0.648,36.0
Kellogg's Special K,"Meals, Entrees, and Side Dishes",0.023,377.0,73.0,0.0,1.8,1.4,0.012,0.053,18.0,0.667,13.0
Kellogg's Corn Pops Cereal,"Meals, Entrees, and Side Dishes",0.007,387.0,90.0,0.0,1.3,8.4,0.028,0.113,4.8,0.357,31.0
Kellogg's Frosted Flakes Cereal,"Meals, Entrees, and Side Dishes",0.003,369.0,89.0,0.0,1.7,2.2,0.008,0.076,4.0,0.468,35.0
Kellogg's Honey Smacks Cereal,"Meals, Entrees, and Side Dishes",0.014,380.0,89.0,0.0,2.2,5.0,0.059,0.183,5.7,0.142,56.0
Post Golden Crisp Cereal,"Meals, Entrees, and Side Dishes",0.015,380.0,90.0,0.0,1.7,5.0,0.059,0.176,5.5,0.095,54.0
General Mills Trix Cereal,"Meals, Entrees, and Side Dishes",0.313,384.0,86.0,0.0,3.8,3.9,0.025,0.162,4.9,0.5,32.0
Corn grits,"Meals, Entrees, and Side Dishes",0.064,74.0,16.0,0.0,0.49,1.1,0.006,0.027,1.6,0.227,0.1
Cream of Wheat,"Meals, Entrees, and Side Dishes",0.064,62.0,13.0,0.0,0.24,0.6,0.006,0.02,1.8,0.102,0.07
Cream of Rice,"Meals, Entrees, and Side Dishes",0.001,52.0,12.0,0.0,0.1,0.1,0.003,0.02,0.9,0.173,0.04
Granola,"Meals, Entrees, and Side Dishes",0.033,389.0,81.0,0.0,5.7,7.0,0.068,0.215,8.7,0.257,28.0
Kellogg's Crispix Cereal,"Meals, Entrees, and Side Dishes",0.009,378.0,87.0,0.0,0.8,1.0,0.013,0.071,6.6,0.66,13.0
General Mills Franken Berry,"Meals, Entrees, and Side Dishes",0.303,386.0,85.0,0.0,4.3,4.2,0.024,0.163,5.5,0.458,27.0
General Mills Count Chocula,"Meals, Entrees, and Side Dishes",0.37,383.0,85.0,0.0,4.7,5.0,0.03,0.228,5.4,0.488,33.0
General Mills Cocoa Puffs,"Meals, Entrees, and Side Dishes",0.37,383.0,84.0,0.0,5.2,5.7,0.059,0.272,5.6,0.564,37.0
General Mills Cinnamon Toast Crunch,"Meals, Entrees, and Side Dishes",0.444,410.0,78.0,0.0,10.0,6.8,0.054,0.201,5.5,0.567,30.0
General Mills Boo Berry,"Meals, Entrees, and Side Dishes",0.303,386.0,85.0,0.0,4.3,4.2,0.048,0.163,5.5,0.458,27.0
Kellogg's Rice Krispie Treats,"Meals, Entrees, and Side Dishes",0.01,395.0,86.0,0.001,4.2,0.4,0.021,0.051,4.3,0.567,30.0
"Cereals ready-to-eat, Post, Waffle Crisp","Meals, Entrees, and Side Dishes",0.024,390.0,83.0,0.0,5.0,4.4,0.072,0.212,6.6,0.596,35.0
Raisin Bran Cereal,"Meals, Entrees, and Side Dishes",0.033,342.0,80.0,0.0,1.9,10.0,0.136,0.546,7.6,0.466,33.0
Poi,"Meals, Entrees, and Side Dishes",0.016,112.0,27.0,0.0,0.14,0.4,0.024,0.183,0.38,0.012,0.39
Gratin,"Meals, Entrees, and Side Dishes",0.119,132.0,11.0,0.023,7.6,1.8,0.02,0.396,5.1,0.433,0.0
Potato salad,"Meals, Entrees, and Side Dishes",0.019,143.0,11.0,0.068,8.2,1.3,0.015,0.254,2.7,0.529,0.0
Potato pancake,"Meals, Entrees, and Side Dishes",0.032,268.0,28.0,0.095,15.0,3.3,0.036,0.622,6.1,0.764,1.8
Pickle relish,"Meals, Entrees, and Side Dishes",0.005,91.0,23.0,0.0,0.46,1.5,0.019,0.078,1.5,1.091,0.0
Cutlet,"Meals, Entrees, and Side Dishes",0.022,117.0,7.3,0.0,1.5,4.5,0.003,0.105,23.0,0.371,0.2
Jerky,"Meals, Entrees, and Side Dishes",0.02,410.0,11.0,0.048,26.0,1.8,0.051,0.597,33.0,2.081,9.0
Corn chips,"Meals, Entrees, and Side Dishes",0.138,538.0,57.0,0.0,33.0,4.0,0.072,0.144,6.2,0.514,0.27
Granola bars,"Meals, Entrees, and Side Dishes",0.061,471.0,64.0,0.0,20.0,5.3,0.097,0.336,10.0,0.294,29.0
Popcorn,"Meals, Entrees, and Side Dishes",0.007,387.0,78.0,0.0,4.5,15.0,0.144,0.329,13.0,0.008,0.87
Caramel popcorn,"Meals, Entrees, and Side Dishes",0.066,400.0,81.0,0.0,7.8,3.8,0.08,0.355,6.4,0.177,45.0
Cheese popcorn,"Meals, Entrees, and Side Dishes",0.113,526.0,52.0,0.011,33.0,9.9,0.091,0.261,9.3,0.889,0.79
Pork skins,"Meals, Entrees, and Side Dishes",0.03,544.0,0.0,0.095,31.0,0.0,0.011,0.127,61.0,1.818,0.0
Rice cakes,"Meals, Entrees, and Side Dishes",0.011,380.0,80.0,0.0,3.5,3.8,0.151,0.299,9.0,0.116,0.0
Tortilla chips,"Meals, Entrees, and Side Dishes",0.106,472.0,68.0,0.0,21.0,5.4,0.084,0.182,7.1,0.328,0.78
Trail mix,"Meals, Entrees, and Side Dishes",0.078,462.0,45.0,0.0,29.0,0.0,0.158,0.685,14.0,0.229,0.0
Fruit roll ups,"Meals, Entrees, and Side Dishes",0.0,373.0,85.0,0.0,3.5,0.0,0.0,0.0,0.1,0.317,39.0
Banana chips,"Meals, Entrees, and Side Dishes",0.018,519.0,58.0,0.0,34.0,7.7,0.076,0.536,2.3,0.006,35.0
Corn nuts,"Meals, Entrees, and Side Dishes",0.017,436.0,72.0,0.0,14.0,8.4,0.109,0.286,9.0,0.6,0.0
Beef sticks,"Meals, Entrees, and Side Dishes",0.068,550.0,5.4,0.133,50.0,0.0,0.021,0.257,22.0,1.531,0.0
Potato sticks,"Meals, Entrees, and Side Dishes",0.018,522.0,53.0,0.0,34.0,3.4,0.064,1.237,6.7,0.633,0.22
Corn cake,"Meals, Entrees, and Side Dishes",0.019,387.0,83.0,0.0,2.4,1.9,0.114,0.157,8.1,0.488,23.0
Potato chips,"Meals, Entrees, and Side Dishes",0.024,536.0,53.0,0.0,35.0,4.8,0.067,1.275,7.0,0.008,0.22
Pretzels,"Meals, Entrees, and Side Dishes",0.036,381.0,79.0,0.0,3.5,2.8,0.035,0.146,9.1,1.715,0.0
Tagliatelle,"Meals, Entrees, and Side Dishes",0.015,288.0,55.0,0.073,2.3,0.0,0.046,0.179,11.0,0.026,0.0
Scrambled egg,"Meals, Entrees, and Side Dishes",0.057,212.0,2.1,0.426,16.0,0.0,0.014,0.147,14.0,0.187,1.6
Caesar salad,"Meals, Entrees, and Side Dishes",0.233,265.0,32.0,0.024,9.5,1.7,0.028,0.17,13.0,0.454,4.0
Ravioli,"Meals, Entrees, and Side Dishes",0.033,77.0,14.0,0.003,1.5,1.3,0.015,0.232,2.5,0.306,3.7
Tortellini,"Meals, Entrees, and Side Dishes",0.152,307.0,47.0,0.042,7.2,1.9,0.021,0.089,14.0,0.406,0.95
Lasagne,"Meals, Entrees, and Side Dishes",0.088,135.0,15.0,0.017,4.9,1.7,0.02,0.196,7.3,0.373,3.1
Fettuccine,"Meals, Entrees, and Side Dishes",0.028,99.0,14.0,0.014,2.7,2.0,0.006,0.168,6.2,0.166,1.3
Penne,"Meals, Entrees, and Side Dishes",0.089,126.0,17.0,0.012,4.0,2.7,0.03,0.122,5.7,0.248,1.9
Sweet potato chips,"Meals, Entrees, and Side Dishes",0.059,532.0,57.0,0.0,32.0,8.8,0.065,0.925,2.9,0.035,8.8
Plantain chips,"Meals, Entrees, and Side Dishes",0.009,531.0,64.0,0.0,30.0,3.5,0.071,0.786,2.3,0.202,0.92
Clif Bar,"Meals, Entrees, and Side Dishes",0.368,346.0,65.0,0.0,5.9,7.4,0.147,0.412,15.0,0.195,32.0
Prawn crackers (Shrimp chips),"Meals, Entrees, and Side Dishes",0.02,426.0,59.0,0.002,18.0,5.6,0.072,0.193,7.1,0.571,21.0
Pico de gallo,"Meals, Entrees, and Side Dishes",0.0,31.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.469,6.3
Pilaf,"Meals, Entrees, and Side Dishes",0.083,359.0,76.0,0.001,1.4,1.2,0.032,0.188,10.0,1.303,1.5
Taquitos,"Meals, Entrees, and Side Dishes",0.104,284.0,34.0,0.013,13.0,2.9,0.024,0.155,9.2,0.453,1.3
Salisbury steak,"Meals, Entrees, and Side Dishes",0.047,149.0,6.8,0.033,10.0,1.0,0.017,0.144,7.0,0.509,0.26
Tortilla,"Meals, Entrees, and Side Dishes",0.244,310.0,46.0,0.0,9.8,9.8,0.085,0.262,9.8,0.512,2.4
Tamale,"Meals, Entrees, and Side Dishes",0.029,153.0,18.0,0.017,6.1,3.1,0.022,0.131,6.3,0.427,0.99
Pupusas,"Meals, Entrees, and Side Dishes",0.049,232.0,23.0,0.029,10.0,2.6,0.038,0.255,12.0,0.426,1.5
Arepa,"Meals, Entrees, and Side Dishes",0.089,219.0,37.0,0.005,5.4,2.6,0.027,0.088,5.5,0.27,0.87
Spanish rice,"Meals, Entrees, and Side Dishes",0.02,185.0,31.0,0.0,5.3,1.2,0.013,0.116,3.3,0.528,1.3
Chinese egg rolls,"Meals, Entrees, and Side Dishes",0.04,250.0,27.0,0.016,12.0,2.6,0.018,0.165,8.3,0.468,0.0
Chinese fried rice,"Meals, Entrees, and Side Dishes",0.012,174.0,33.0,0.018,3.0,1.1,0.01,0.076,4.1,0.387,0.56
Chinese cuisine,"Meals, Entrees, and Side Dishes",0.022,105.0,7.3,0.014,5.3,1.5,0.015,0.204,7.1,0.409,2.4
Mozzarella cheese sticks,"Meals, Entrees, and Side Dishes",0.331,324.0,27.0,0.032,18.0,1.6,0.021,0.121,14.0,1.008,2.8
Chinese lemon chicken,"Meals, Entrees, and Side Dishes",0.04,252.0,21.0,0.032,14.0,1.0,0.016,0.161,12.0,0.252,8.2
General tso's chicken,"Meals, Entrees, and Side Dishes",0.012,295.0,24.0,0.053,16.0,0.9,0.018,0.201,13.0,0.435,12.0
Kung Pao chicken,"Meals, Entrees, and Side Dishes",0.02,129.0,6.9,0.026,7.0,1.5,0.024,0.218,9.8,0.402,3.0
Lo mein,"Meals, Entrees, and Side Dishes",0.021,121.0,20.0,0.0,2.4,1.3,0.014,0.105,4.8,0.43,2.6
Orange chicken,"Meals, Entrees, and Side Dishes",0.014,262.0,22.0,0.061,13.0,0.8,0.02,0.209,14.0,0.553,14.0
Sesame chicken,"Meals, Entrees, and Side Dishes",0.012,293.0,27.0,0.059,14.0,0.7,0.022,0.204,14.0,0.482,16.0
Vermicelli,"Meals, Entrees, and Side Dishes",0.055,331.0,82.0,0.0,0.1,3.9,0.002,0.003,0.1,0.004,17.0
Baby food,Baby Foods,0.733,379.0,73.0,0.0,4.4,7.5,0.1,0.437,12.0,0.003,0.87
Zwieback,Baby Foods,0.02,426.0,74.0,0.008,9.7,2.5,0.014,0.305,10.0,0.227,13.0
Cherry juice,Baby Foods,0.007,47.0,11.0,0.0,0.1,0.3,0.003,0.11,0.2,0.004,11.0
